is_muted,time_unmuted,is_speaking,speaking_duration,camera_on,hand_raised,hand_raise_count,message_length,hesitation_count,has_question,confidence_level,missing_assignments,grade_average,grade_trend,days_since_submission,late_submissions,struggle_label,_academic_observed,_latent_p
0,0,0,30,1,0,4,22,0,1,73,0,68,105,0,2,0,1,0.016985384304825005
0,241,0,0,0,0,0,0,0,0,49,0,34,72,16,4,1,1,0.9853587265936373
0,263,0,0,1,1,1,0,0,0,89,1,53,87,0,0,1,1,0.6725643689328484
1,0,1,13,0,1,1,48,1,1,31,2,42,67,0,2,1,1,0.6086899002480027
1,143,0,43,1,0,0,24,0,1,67,2,69,114,0,0,0,1,0.21568252564483725
1,206,0,106,1,1,1,0,0,0,89,3,85,117,0,3,0,1,0.01984240572507776
1,58,0,0,0,0,0,0,0,0,15,0,80,100,0,0,0,0,0.7612585300585645
0,346,0,147,0,0,1,33,0,0,65,3,68,102,0,0,0,1,0.011809709068819924
0,112,1,56,1,1,2,32,1,0,86,1,52,80,1,1,0,1,0.00963038224679889
0,104,0,7,0,0,0,37,1,1,41,6,59,90,0,1,1,1,0.5825005950407055
1,158,1,114,0,0,1,12,0,0,40,0,80,107,2,0,0,1,0.007178441696358305
0,150,0,149,0,0,2,16,0,0,57,4,75,103,0,1,0,1,0.002265241288814275
1,403,0,0,0,0,0,0,0,0,28,3,41,86,0,3,1,1,0.8421303650638746
1,23,0,4,0,0,0,0,0,0,4,2,80,114,4,2,0,1,0.25573187669214453
0,243,0,44,1,0,4,0,0,0,66,0,80,100,0,0,0,0,0.07878506410164257
0,273,0,0,0,0,0,0,0,0,69,0,40,76,7,2,1,1,0.6301617331359454
1,5,0,6,1,0,0,14,0,1,38,0,80,112,0,0,0,1,0.05804030044326763
0,210,0,82,1,1,0,18,0,0,65,0,80,100,0,0,0,0,0.027618478206264285
0,33,0,84,1,1,1,16,3,0,49,5,80,106,0,3,0,1,0.24330103455833285
1,214,1,37,1,0,0,11,2,0,34,0,80,100,0,0,0,0,0.18922686767259053
0,96,1,39,1,1,6,19,0,1,62,4,80,108,0,0,0,1,0.017423999024263247
0,188,1,282,1,0,0,27,0,1,81,3,43,73,0,3,1,1,0.7737590212307421
0,163,0,0,1,0,2,0,0,0,96,0,80,100,0,0,1,0,0.41093822844741834
1,0,0,44,0,1,0,0,0,0,11,2,74,100,0,7,0,1,0.1309959760108006
0,342,1,113,1,0,0,0,0,0,74,0,73,100,34,1,0,1,0.04967666133306933
1,0,0,11,1,0,0,0,0,0,29,4,81,110,0,3,0,1,0.07479850154503755
1,0,0,11,1,0,0,22,3,0,31,0,80,100,0,0,0,0,0.06100331293187149
1,187,0,0,0,0,2,0,0,0,45,2,64,100,2,1,0,1,0.007687057327707636
1,0,0,36,0,0,0,2,6,0,0,4,46,83,0,2,1,1,0.9296552453474869
1,11,0,31,1,0,0,0,6,0,21,2,80,116,0,1,0,1,0.05212175001895767
0,218,0,95,1,0,1,23,0,1,92,0,80,100,0,0,0,0,0.01677338031242434
0,245,1,258,0,0,0,0,0,0,49,2,80,124,0,0,0,1,0.0008336831335766722
1,0,0,0,0,0,1,0,3,0,0,0,80,100,0,0,1,0,0.9647076674045392
0,0,1,0,1,0,0,20,1,0,27,0,80,100,0,0,0,0,0.03240924650505491
0,171,0,0,0,0,0,0,0,0,61,1,64,101,8,1,0,1,0.0035918601662677926
0,178,0,0,0,1,4,0,0,0,47,3,70,105,1,0,0,1,0.0019915798028586206
0,274,0,0,1,1,1,0,0,0,74,2,47,93,5,1,0,1,0.17160960700274253
0,285,1,104,1,1,0,18,2,0,48,0,78,110,0,2,0,1,0.017166077854805065
1,178,0,0,0,0,0,0,0,0,100,6,51,92,17,0,1,1,0.6132170588169157
1,117,0,40,0,0,0,13,2,0,34,4,54,88,0,0,1,1,0.8900489133262937
0,41,0,68,0,0,0,0,0,0,23,3,36,72,0,9,1,1,0.9871483829659287
0,290,1,150,1,1,2,28,1,0,86,3,65,116,6,1,0,1,0.008137157947162823
1,95,0,53,1,0,0,15,4,1,41,2,40,64,0,0,1,1,0.9085756444920251
0,34,0,0,1,0,0,0,0,0,47,2,61,89,11,5,0,1,0.16736923937961296
0,72,0,166,1,1,1,18,2,0,59,0,80,100,0,0,0,0,0.1798678844228765
1,19,0,61,1,0,2,16,0,1,81,7,68,100,0,1,0,1,0.06941243415845987
0,664,0,185,1,0,1,31,0,0,82,0,80,100,0,0,0,0,0.0134420287906633
1,216,0,128,1,0,0,0,0,0,64,0,61,96,1,1,0,1,0.17824792011947155
0,443,1,99,1,1,2,24,0,0,74,2,37,96,7,0,0,1,0.09643801475912685
0,23,0,105,1,0,1,43,1,0,60,0,46,84,8,0,1,1,0.8358618378027737
0,79,0,0,0,0,0,0,0,0,19,0,80,100,0,0,0,0,0.4124220731368581
0,73,0,35,0,0,0,10,2,0,17,0,55,89,0,4,1,1,0.2272440346096413
0,92,0,0,0,0,0,0,0,0,52,1,79,109,4,3,0,1,0.022281437849758723
1,112,0,0,0,0,0,0,0,0,25,0,80,100,0,0,0,0,0.5308291381769741
0,83,0,142,0,0,1,15,1,0,33,7,80,102,0,1,0,1,0.022433233635090546
1,0,0,94,0,0,2,35,2,1,59,0,80,100,0,0,1,0,0.0736276323127953
1,116,0,33,1,0,0,7,4,0,48,3,53,89,8,0,0,1,0.6875046893773178
1,79,0,52,1,0,1,10,1,0,58,3,50,80,5,6,1,1,0.8435951052817721
0,127,0,103,1,0,2,61,0,0,89,0,80,100,0,0,1,0,0.3245468007996909
1,68,0,173,1,1,0,0,0,0,72,3,44,76,0,1,1,1,0.6789303723924006
1,54,0,0,0,0,0,16,2,1,14,6,80,84,0,0,1,1,0.33678306089341653
0,91,0,86,1,0,2,28,3,0,70,0,80,100,0,0,0,0,0.0972540112216317
1,600,0,197,1,0,3,0,0,0,98,0,80,100,0,0,0,0,0.039888552233505355
0,209,1,258,1,0,1,36,1,0,73,0,80,100,0,0,0,0,0.0663125306019108
0,314,1,70,0,1,1,35,1,0,46,1,80,92,0,2,0,1,0.3870164546728371
1,0,0,0,0,0,2,0,0,0,22,4,80,95,0,3,1,1,0.5790621130473028
1,45,0,0,1,0,1,0,0,0,63,0,80,100,0,0,0,0,0.6498676661875608
0,243,0,0,0,0,1,0,0,0,27,3,80,97,0,2,0,1,0.1413376799759312
0,151,0,100,0,0,3,15,2,0,48,3,65,96,15,1,0,1,0.2941828227186533
1,36,0,64,0,0,1,17,2,1,52,6,41,85,7,5,1,1,0.8140715765751727
1,129,0,51,0,1,2,11,4,0,20,1,76,107,4,1,0,1,0.2573741010768155
1,20,1,34,1,1,1,0,0,0,43,0,80,100,0,0,0,0,0.028772800045661368
1,224,0,131,0,1,0,0,0,0,37,0,80,104,7,2,0,1,0.024189430181093544
0,148,1,99,1,0,2,25,0,0,64,0,80,100,0,0,0,0,0.07485063288114303
0,312,1,0,1,0,1,19,1,0,42,0,80,100,0,0,0,0,0.0576221078161898
1,136,0,20,0,0,0,0,6,0,16,3,51,86,0,1,1,1,0.8988651326946373
1,66,0,269,0,0,0,32,7,0,32,1,45,71,8,2,1,1,0.798299394803011
0,57,0,42,1,1,4,0,0,0,63,0,80,100,0,0,0,0,0.15345915164773072
1,0,0,0,0,0,0,0,0,0,0,4,55,89,0,1,0,1,0.8699934859193355
1,0,0,30,1,0,1,7,2,0,30,3,80,123,0,3,0,1,0.03240650547551812
0,310,0,205,0,0,0,20,1,1,59,1,45,80,11,4,0,1,0.5234295972607108
0,0,0,3,1,0,5,16,0,0,39,0,80,100,0,0,0,0,0.017683514139704877
0,323,1,97,1,0,1,31,1,0,65,0,80,100,0,0,0,0,0.004498015701924638
0,166,0,63,1,0,0,24,0,0,60,0,68,104,0,0,0,1,0.16056102373336162
1,41,1,22,1,0,1,10,3,0,45,0,63,94,0,0,0,1,0.0730081059118421
1,54,0,0,1,0,0,0,0,0,51,1,52,87,0,0,1,1,0.70499278998804
1,135,0,157,0,0,2,0,0,0,54,6,54,77,0,2,0,1,0.4919545061879809
0,140,0,0,0,0,0,0,0,0,37,2,49,89,0,2,0,1,0.13806553719523643
0,219,0,74,0,0,2,1,1,0,26,2,80,121,0,0,0,1,0.0018458550679368547
1,15,0,19,0,0,2,0,5,0,13,4,72,105,3,1,1,1,0.1677738420196162
0,55,0,0,1,0,3,0,0,0,87,7,59,98,3,0,0,1,0.17322939844968885
1,422,1,145,1,0,0,18,0,1,76,4,56,90,4,5,1,1,0.32239920456362475
0,214,0,184,1,0,1,25,1,1,84,2,58,87,0,0,0,1,0.1559498698200043
0,264,0,0,1,0,1,0,0,0,72,1,57,96,0,3,1,1,0.7531668138372217
0,78,0,20,0,1,2,24,0,1,38,0,80,100,0,0,0,0,0.0012062845894023509
1,317,0,0,1,0,2,0,0,0,93,1,72,105,0,1,0,1,0.0022518245336861165
1,24,0,0,0,0,0,0,0,0,5,1,76,104,0,0,0,1,0.13136989835298643
0,206,1,52,0,0,0,10,2,0,20,1,76,108,5,1,0,1,0.006256992715326797
1,106,0,32,1,0,0,23,2,0,35,4,43,80,3,2,1,1,0.7967748720255317
1,321,0,234,1,0,7,20,0,1,92,0,80,100,0,0,0,0,0.09149859098860946
1,127,0,76,1,1,0,24,0,0,48,3,50,91,0,3,0,1,0.10126149967248282
1,130,0,164,1,0,5,29,0,0,71,2,77,104,4,0,0,1,0.02782267904146092
1,210,0,78,1,0,0,11,1,0,39,5,44,86,0,4,1,1,0.8749837428274132
0,35,0,77,1,0,1,18,3,0,39,11,51,77,0,2,1,1,0.9636753285321984
0,62,0,106,1,1,1,19,0,1,73,2,62,93,9,3,0,1,0.05168891120737672
0,141,0,6,1,0,0,5,3,0,20,1,68,94,0,0,1,1,0.7768777731678418
1,149,0,33,0,0,0,13,2,1,25,0,46,77,0,3,1,1,0.9043414265923181
1,119,0,58,0,0,0,0,0,0,19,6,71,112,5,0,0,1,0.3710883541693438
0,229,0,50,1,1,1,17,1,0,61,2,76,117,0,0,0,1,0.01308164384980988
0,91,0,8,1,0,1,35,0,0,56,3,51,79,0,3,0,1,0.07399547027536038
1,459,0,259,1,1,0,24,0,0,77,2,78,105,0,0,0,1,0.004913168112239925
1,111,0,0,0,0,1,0,0,0,19,2,80,90,0,3,0,1,0.7169757081243453
1,137,0,55,1,0,0,5,1,0,39,4,46,78,4,3,1,1,0.8262535817259552
1,121,1,145,1,0,0,53,1,1,81,6,51,73,0,1,0,1,0.9132034916122683
1,45,0,0,0,0,0,0,0,0,27,1,80,107,6,1,0,1,0.07433012910245251
0,150,0,6,0,0,0,25,0,1,40,1,54,86,0,3,0,1,0.10978197370139735
1,115,0,30,0,0,1,7,0,0,19,0,80,79,0,2,1,1,0.9438939103638415
1,289,1,52,1,0,1,13,0,0,53,0,57,89,0,0,0,1,0.08695474186606314
0,119,0,0,1,1,2,0,0,0,82,2,66,100,1,0,0,1,0.05101511326925999
0,0,0,147,0,0,2,9,0,1,48,0,80,100,0,0,0,0,0.02642245314304342
1,146,0,0,1,0,0,0,0,0,54,0,80,80,4,1,1,1,0.6699369282916495
1,132,1,55,0,0,0,0,0,0,60,0,80,100,0,0,0,0,0.06180407068022441
1,0,0,46,0,0,0,10,5,1,9,1,80,87,0,2,1,1,0.7733733792318653
0,119,1,99,0,1,2,33,0,0,61,0,80,100,0,0,0,0,0.014543233216434874
0,444,1,139,0,0,2,38,1,1,77,2,48,87,0,2,0,1,0.23552531061542514
1,0,0,44,0,0,0,0,0,0,21,0,80,100,0,0,0,0,0.3269737008037705
0,201,0,97,1,0,5,0,0,0,100,3,46,77,29,5,1,1,0.9457201898862349
0,292,0,184,0,0,1,33,0,0,61,1,86,121,0,0,0,1,0.0004667346420916113
1,142,0,0,0,0,0,0,0,0,50,4,80,95,0,0,0,1,0.09019299121008793
0,232,0,181,1,0,0,23,1,1,82,0,77,111,3,4,0,1,0.006733267989547474
0,94,0,86,1,0,3,11,5,1,56,0,45,88,4,0,1,1,0.42076542235940095
0,392,0,0,1,0,0,0,0,0,78,2,49,80,4,2,0,1,0.05541549031693235
0,234,0,0,1,0,0,0,0,0,60,0,80,100,0,0,0,0,0.2262498731966062
0,102,0,62,0,0,1,24,3,1,56,0,80,100,0,0,0,0,0.22563069846883943
0,92,0,0,1,0,1,0,0,0,64,3,72,96,0,0,0,1,0.08457872162589528
1,0,0,78,0,0,0,13,0,1,28,5,50,80,0,1,0,1,0.5535022841116567
1,229,0,188,1,0,4,27,2,0,80,0,80,100,0,0,0,0,0.021965447209652007
1,117,0,69,1,0,0,22,0,0,50,0,80,100,0,0,0,0,0.009935249567014122
1,70,0,0,1,1,0,18,1,1,41,0,43,65,0,1,1,1,0.9693478458299504
0,387,0,90,0,0,2,0,0,0,47,5,74,105,0,2,0,1,0.03469706083005256
1,0,0,0,0,0,0,0,0,0,0,3,80,114,0,0,0,1,0.18582624094272265
1,127,0,0,0,0,0,0,0,0,77,1,76,117,4,1,0,1,0.05618294240968209
1,250,1,37,0,0,1,17,5,0,25,4,57,91,0,1,1,1,0.47518322513256
1,179,0,0,0,0,0,0,0,0,84,6,42,84,0,0,1,1,0.7426570201834449
1,58,0,19,0,0,1,12,5,0,2,0,80,100,0,0,1,0,0.9393122825954514
1,101,0,0,1,1,0,0,0,0,71,1,66,101,0,1,0,1,0.030898757616610286
1,88,0,79,0,0,1,10,1,0,27,4,80,120,0,0,0,1,0.02333483675179157
0,135,0,104,0,0,0,0,0,0,57,0,43,78,1,1,1,1,0.884453506105979
0,61,1,81,0,1,2,32,0,0,65,0,80,100,0,0,0,0,0.06788417929454409
1,72,1,2,0,0,2,15,4,0,10,0,36,72,0,0,1,1,0.685647769000043
1,0,0,0,0,0,1,19,1,1,22,2,76,102,0,2,0,1,0.006622604251842739
1,68,1,48,1,1,7,15,0,0,77,4,68,97,8,1,0,1,0.021510968039900224
1,0,0,0,0,0,0,0,0,0,0,0,80,100,0,0,1,0,0.8537145610035118
1,6,0,58,0,0,2,0,0,0,54,2,55,95,4,0,0,1,0.11061038384166226
1,93,0,91,1,1,2,20,0,0,69,4,80,88,0,2,0,1,0.34522649628723723
0,70,0,161,1,0,0,13,1,1,63,3,56,88,10,3,0,1,0.10524715031646498
1,24,0,115,0,0,2,42,1,0,54,6,40,79,0,4,1,1,0.9107335981672605
0,235,1,332,1,0,3,18,0,0,77,0,80,100,0,0,0,0,0.02078937836508098
1,0,0,0,1,0,0,0,0,0,20,3,52,96,5,2,0,1,0.6819462520859163
1,0,0,0,0,0,0,0,0,0,0,2,80,94,0,3,0,1,0.149436651976701
0,103,0,61,1,0,0,15,6,0,30,7,50,92,0,4,1,1,0.921620620795406
1,1,0,15,0,0,1,22,7,0,7,0,80,100,0,0,1,0,0.32954327437588615
1,217,0,0,1,0,0,0,0,0,60,0,80,110,3,0,0,1,0.22791709310331026
