is_muted,time_unmuted,is_speaking,speaking_duration,camera_on,hand_raised,hand_raise_count,message_length,hesitation_count,has_question,confidence_level,missing_assignments,grade_trend,struggle_label
1,833,0,86,1,0,0,1,1,0,51,2,102,0
1,705,1,167,1,0,1,19,7,0,29,2,120,0
0,566,0,56,1,0,2,16,1,0,67,3,83,0
0,450,1,150,0,0,2,60,6,1,80,3,82,1
1,891,0,8,1,0,0,0,6,0,17,4,74,1
0,429,0,39,0,0,1,20,5,0,30,3,85,0
1,315,0,18,0,0,0,8,4,1,37,1,117,0
0,819,1,265,1,0,0,58,3,0,87,3,85,0
0,1135,0,140,0,1,1,35,3,0,62,4,100,0
0,482,0,167,1,0,3,30,2,0,66,3,81,0
1,1159,1,146,1,0,2,24,0,0,65,2,115,1
1,1491,0,115,1,1,3,21,1,1,77,2,104,0
0,711,0,185,0,0,2,48,1,0,69,4,80,1
0,347,1,72,0,0,1,65,0,0,44,3,76,1
0,0,0,121,1,0,1,9,3,0,28,2,106,0
1,0,0,140,0,0,1,51,3,0,36,4,82,1
1,0,0,0,0,0,1,18,4,0,39,4,102,0
1,635,1,0,0,1,1,0,4,0,17,4,107,0
1,62,0,175,0,0,1,25,2,0,60,2,80,1
0,778,1,167,1,1,3,42,2,0,58,0,116,0
1,1347,0,238,1,0,2,48,1,1,79,3,83,0
0,1585,1,121,1,1,3,21,1,0,100,3,90,0
1,812,0,194,0,0,5,22,2,0,53,2,100,0
0,952,1,447,0,1,4,36,0,0,84,1,130,0
0,1298,1,182,0,0,2,23,0,0,95,2,106,0
1,1086,0,260,1,1,2,37,2,1,86,3,94,0
0,591,0,152,0,0,2,36,4,0,32,4,72,1
0,640,1,361,1,1,2,37,0,1,83,2,89,0
0,848,1,189,0,1,0,21,2,0,57,3,90,0
1,488,0,230,0,0,1,5,3,1,35,2,95,0
1,516,0,65,1,1,1,24,1,0,55,3,108,1
1,0,0,0,0,0,0,17,7,0,25,0,130,0
1,0,0,0,0,0,0,0,0,0,5,2,70,1
0,1146,0,237,1,0,2,44,2,0,52,3,71,1
1,779,0,205,0,1,3,30,0,1,73,3,105,0
1,464,1,65,0,0,2,38,2,0,29,4,77,1
0,350,0,40,1,1,1,23,2,0,23,3,100,0
0,1334,0,0,1,0,3,15,5,1,56,3,88,0
1,497,0,120,0,0,1,0,6,0,23,2,100,0
1,494,0,159,1,0,0,7,2,0,41,3,86,0
1,555,1,188,0,0,2,30,1,1,35,3,84,0
0,1236,1,161,0,1,4,38,2,0,68,4,73,1
0,945,0,139,0,0,2,53,2,0,55,0,119,1
0,1042,0,88,1,0,0,7,1,0,41,2,112,0
0,1378,0,227,1,1,5,30,0,1,98,1,130,0
1,429,1,24,0,0,2,48,2,0,4,4,70,1
0,747,0,322,1,0,2,29,1,0,67,1,108,0
0,918,0,186,1,0,1,23,1,0,71,4,80,0
0,731,0,0,0,0,1,34,4,1,69,4,88,0
0,1313,1,307,1,1,3,13,0,1,69,4,70,1
1,0,0,64,0,0,1,18,2,0,38,3,79,1
0,1482,0,242,0,1,2,7,2,0,27,4,79,1
1,84,0,202,0,1,1,19,3,0,54,3,109,0
1,0,0,117,0,0,2,6,2,0,23,0,112,0
0,442,0,182,0,0,3,24,4,1,42,4,74,1
0,482,0,163,1,0,2,46,1,0,56,4,81,1
0,1082,1,296,1,1,2,18,1,1,74,1,123,0
0,648,0,144,1,0,2,22,0,0,55,4,87,0
0,1236,0,125,1,0,1,27,3,0,75,3,77,0
0,704,1,271,0,1,3,22,0,1,82,2,112,0
1,646,0,110,1,0,1,1,1,0,16,3,102,0
0,1339,1,256,0,0,2,20,0,0,77,2,101,0
0,1105,0,280,1,1,2,31,0,0,94,2,101,0
0,910,0,313,1,0,2,18,0,0,86,2,99,0
1,0,0,48,0,0,0,32,4,0,10,1,102,0
1,428,0,249,1,0,0,18,3,0,65,2,99,0
1,0,0,56,0,0,1,10,1,0,41,2,102,0
0,1380,0,196,1,1,1,57,0,0,88,0,115,0
1,2,0,0,0,0,3,0,5,0,37,2,106,1
1,1228,1,329,1,0,1,13,1,0,67,2,86,0
1,639,0,81,1,0,0,29,1,0,60,1,109,0
1,476,0,83,1,0,2,24,2,0,30,4,94,0
1,189,0,0,1,0,2,11,5,0,22,2,107,0
1,0,0,143,0,0,1,43,5,0,9,4,70,1
0,550,0,0,1,0,0,8,4,0,36,1,114,1
1,690,0,153,1,1,2,18,1,0,57,2,108,0
1,460,0,90,0,0,1,12,6,0,25,4,94,1
1,367,0,0,1,1,0,0,1,1,17,1,123,0
0,905,1,343,0,0,3,29,2,0,78,4,75,1
0,100,1,195,1,0,2,33,0,0,55,3,72,1
1,695,0,224,1,1,0,41,2,1,49,1,106,0
0,1176,1,241,0,0,2,54,1,0,63,3,75,1
1,626,0,0,0,0,2,26,3,0,22,3,90,0
1,1350,0,181,0,1,1,12,2,1,62,1,106,0
0,480,0,7,1,0,1,28,3,0,34,4,72,1
1,854,0,192,1,0,1,37,4,1,56,3,83,0
0,749,0,132,0,0,0,2,2,0,36,0,106,1
1,959,0,160,0,1,2,34,4,0,60,2,92,0
1,58,0,188,0,1,1,31,3,1,25,4,95,1
1,386,1,3,0,0,0,32,2,0,30,2,102,0
0,781,0,135,1,0,2,16,4,1,49,2,83,0
1,153,0,111,0,1,1,13,4,0,10,3,76,1
1,1144,0,309,1,0,2,18,0,0,63,0,113,0
1,894,0,38,1,0,3,17,4,1,46,2,97,0
1,655,1,177,0,0,0,21,1,1,55,2,92,0
1,251,0,132,1,1,0,15,3,0,32,4,113,0
0,1154,0,182,0,0,3,29,0,0,61,3,81,0
1,470,1,216,0,0,3,10,2,0,62,1,116,0
1,320,0,27,1,0,0,22,2,0,66,1,99,0
0,0,1,205,0,0,0,0,4,0,33,3,89,0
1,1148,0,138,0,0,0,48,7,0,13,3,90,0
1,975,0,215,1,0,2,42,1,0,62,3,88,0
0,887,0,72,0,0,1,13,6,1,44,2,88,0
0,1508,1,202,1,1,1,9,1,0,77,2,92,0
1,496,1,130,1,0,0,63,3,0,3,3,74,1
0,923,0,139,1,1,1,21,0,1,72,2,107,0
1,762,0,162,1,1,3,14,3,0,57,2,88,0
0,414,0,0,1,0,2,12,2,1,57,0,130,0
0,1274,1,172,1,1,3,28,1,0,83,3,101,1
0,709,0,161,1,0,1,54,2,0,49,3,72,1
0,1178,1,27,1,0,2,36,1,0,69,1,120,0
0,26,0,261,0,0,2,0,1,1,49,3,97,1
0,533,1,0,1,0,1,10,4,0,46,3,85,0
1,88,0,118,0,0,3,3,1,0,55,2,101,0
1,1055,1,150,1,0,3,29,3,0,56,3,99,0
1,959,0,177,1,0,2,16,3,0,33,1,116,0
1,905,0,78,1,0,0,29,3,0,44,3,108,0
0,1134,1,213,1,1,3,20,0,1,79,2,109,0
0,320,0,87,0,0,0,28,3,0,35,2,92,0
1,57,1,114,1,0,2,3,3,0,26,4,88,0
0,389,0,195,0,1,2,8,1,0,37,2,103,0
1,372,0,60,0,0,3,39,2,0,61,4,96,0
1,0,0,165,1,0,0,15,3,0,49,2,107,1
1,2,0,0,0,0,0,0,4,0,19,1,75,1
0,1215,0,233,1,1,2,19,1,0,70,0,110,1
1,0,0,0,1,0,1,23,4,0,33,1,109,0
1,574,1,23,0,0,0,22,4,0,23,3,114,0
0,0,0,80,1,0,2,3,3,0,25,1,86,0
1,838,1,151,1,1,2,4,2,0,79,3,102,0
0,1100,1,260,0,0,3,35,2,0,65,2,107,0
0,867,0,135,1,1,2,17,2,1,60,1,99,0
0,802,0,16,0,0,2,4,2,1,43,3,104,0
0,672,0,71,0,0,1,16,5,0,25,1,85,0
1,894,0,13,0,0,1,28,3,1,61,3,97,0
0,1022,0,196,0,0,4,20,0,1,67,4,95,0
0,691,0,197,1,0,0,0,5,0,41,4,100,0
0,824,0,183,1,0,2,32,2,1,59,1,109,0
1,1400,0,191,0,0,3,17,0,0,57,4,89,1
0,1093,0,323,0,0,1,26,3,1,51,2,109,0
0,542,0,263,0,1,5,22,1,0,79,1,103,0
0,931,0,60,1,1,1,13,1,0,51,4,88,0
0,467,1,19,0,0,2,47,4,0,61,4,92,0
0,653,0,27,1,0,2,8,4,0,34,4,92,0
0,1370,0,0,1,1,1,30,2,0,77,0,116,0
1,535,1,85,0,0,1,19,2,0,24,4,72,1
1,572,0,101,0,0,2,30,2,1,47,2,108,0
0,843,0,91,0,0,2,11,1,1,64,2,105,1
0,1304,0,257,0,0,3,10,3,1,67,1,101,0
0,0,0,33,1,0,0,10,3,0,0,3,110,0
1,6,0,0,0,0,0,0,1,0,0,1,72,1
0,708,0,156,0,0,0,17,1,1,36,4,70,1
1,803,1,78,0,0,0,18,2,1,43,2,103,0
1,539,0,45,1,0,0,19,1,0,6,4,70,1
0,702,0,29,1,0,0,15,2,0,51,2,118,0
0,1190,0,125,1,1,4,64,1,1,84,4,77,1
1,933,0,224,1,0,2,24,0,0,65,2,87,0
1,608,0,59,1,0,1,68,0,1,58,4,82,1
0,0,1,0,0,0,2,69,4,0,53,4,81,1
1,679,0,183,0,0,2,17,1,0,71,0,129,0
0,862,0,100,1,0,2,12,1,0,90,2,107,0
0,1660,1,411,0,0,4,41,1,0,100,1,103,0
1,1183,0,0,1,0,2,39,3,1,48,4,88,0
1,0,0,0,0,0,2,20,3,0,31,4,80,1
1,867,0,65,0,0,0,48,3,0,24,4,84,1
1,335,0,247,0,1,1,41,1,0,58,0,130,0
1,272,0,87,0,1,2,0,1,0,20,1,105,0
0,742,1,345,1,0,1,28,0,0,76,1,92,1
1,123,1,148,0,0,2,28,1,0,56,2,97,0
0,805,0,233,1,0,2,26,1,0,79,3,102,0
1,494,0,45,0,0,0,11,3,0,28,1,110,0
1,950,0,267,1,0,1,0,2,0,59,4,88,0
0,1119,0,285,1,0,3,46,2,1,82,0,115,0
0,0,0,125,0,1,1,7,3,1,15,3,82,1
1,114,0,0,0,0,3,12,2,0,33,2,125,1
1,976,1,181,1,0,3,29,4,0,53,1,104,0
0,1299,0,311,1,0,1,6,1,0,66,0,101,0
1,253,0,0,0,0,2,0,2,0,56,4,96,0
1,1243,0,207,1,0,1,27,1,0,86,0,111,0
1,101,1,97,1,0,1,0,2,1,46,2,87,0
0,839,0,363,1,1,3,38,0,0,71,1,111,0
1,193,0,97,0,0,1,22,1,1,20,3,93,1
1,653,0,26,0,1,3,18,4,0,52,2,111,0
1,319,0,202,1,0,2,6,5,0,43,4,85,0
1,71,0,127,1,0,0,5,3,0,0,3,79,1
0,1433,1,130,0,1,4,22,4,0,32,1,99,0
0,301,0,101,1,0,1,9,1,0,58,3,78,1
0,1450,0,221,0,1,4,52,1,0,96,2,78,0
1,260,1,315,0,0,3,23,0,0,48,1,105,0
1,491,0,94,1,0,1,3,3,0,26,1,101,0
1,0,0,29,0,0,0,22,5,0,9,4,79,1
0,337,0,0,1,0,2,22,2,0,47,1,119,0
1,0,0,33,0,1,0,16,4,0,32,2,100,0
1,718,0,272,1,1,2,24,4,0,28,3,93,0
0,327,1,78,0,0,2,8,2,1,30,2,107,0
1,732,0,0,1,0,0,46,3,1,22,4,82,0
1,1105,1,235,0,0,1,32,2,0,83,3,105,0
0,837,0,162,0,1,4,19,3,0,67,4,81,1
1,583,0,0,1,0,0,29,2,0,64,3,89,0
1,466,0,141,0,0,1,1,3,0,47,1,107,0
0,939,0,137,0,0,2,1,1,0,40,4,81,1
1,714,0,46,1,0,1,24,4,0,32,1,98,0
0,98,0,106,0,0,2,20,5,0,28,2,103,1
1,0,0,56,0,1,0,15,2,0,38,4,71,1
0,819,0,262,1,0,3,16,1,0,68,3,70,0
1,1108,0,257,1,0,6,49,0,0,84,3,84,0
1,891,0,190,0,0,4,22,1,0,54,2,91,1
0,1183,1,447,1,1,4,42,2,1,63,2,119,1
1,436,0,180,1,0,1,13,1,1,52,3,117,0
1,542,0,195,0,1,0,41,0,0,84,1,123,0
1,345,0,0,0,0,1,11,3,0,51,3,93,0
0,1111,0,308,1,0,3,37,0,0,91,0,102,1
0,443,0,124,1,0,4,32,2,0,97,2,101,0
0,824,0,327,1,0,2,54,3,0,46,4,80,1
1,11,0,122,0,0,2,13,0,0,47,3,89,0
1,611,0,267,1,0,2,21,2,1,57,1,116,0
0,1305,0,247,0,0,3,21,2,0,61,2,92,0
1,1168,1,70,1,0,2,71,2,1,47,4,72,1
1,1668,0,49,1,0,3,35,0,1,86,2,106,0
1,0,0,2,1,0,0,9,4,0,22,4,85,1
0,267,0,190,1,0,2,21,3,0,43,1,115,0
1,0,0,148,0,0,2,20,3,0,41,2,77,0
1,85,0,0,1,0,2,12,4,0,42,1,130,0
1,0,1,33,0,0,0,16,2,0,26,4,84,1
1,0,0,103,0,1,1,3,3,0,35,1,115,0
0,855,0,0,1,0,1,30,4,1,22,3,93,0
1,423,1,77,0,0,1,51,1,1,35,4,88,1
0,891,0,258,1,0,3,34,1,1,73,4,87,0
0,584,0,210,1,0,2,14,1,1,52,2,117,0
0,1210,1,335,0,1,4,61,3,1,69,4,80,1
1,675,0,267,0,1,1,8,0,0,49,2,104,0
1,581,1,93,1,0,3,23,2,1,76,3,102,1
0,771,1,174,1,0,2,30,2,0,85,2,98,0
0,1118,0,198,1,0,2,29,1,0,53,0,115,0
0,1015,1,322,1,1,4,25,1,0,60,0,104,1
1,120,0,13,1,0,0,13,6,0,7,3,90,0
0,1015,0,341,0,1,2,39,0,0,79,4,107,0
1,1004,1,68,0,0,4,0,2,1,66,0,115,1
1,396,1,66,0,0,2,11,1,1,42,2,71,0
1,208,0,255,1,1,4,38,0,1,57,4,86,0
1,0,0,82,0,0,2,0,1,0,14,1,110,0
1,81,1,266,1,0,2,13,5,0,49,2,98,0
0,1107,1,375,1,0,4,26,2,1,69,3,112,0
1,376,1,81,0,0,2,6,3,0,33,1,104,0
1,1338,1,108,1,1,3,38,1,0,86,3,83,0
0,763,0,290,0,1,2,29,0,0,84,2,77,0
1,527,0,64,1,1,2,11,1,1,37,2,87,1
0,1117,1,269,0,0,3,43,1,1,59,2,119,0
1,1390,0,220,1,0,2,12,1,0,42,1,89,0
1,396,0,103,1,0,1,1,5,1,21,1,116,0
1,809,0,65,0,0,0,1,4,0,0,0,107,0
1,678,0,0,0,0,2,14,3,0,45,0,120,0
0,1341,0,108,1,1,2,22,0,0,77,4,94,1
1,1096,0,298,1,0,1,16,5,0,0,3,92,0
1,1102,0,243,0,1,5,17,0,1,81,1,118,0
1,697,0,161,1,0,0,2,2,0,44,0,110,0
0,389,0,83,0,0,2,0,0,0,71,4,88,0
1,236,1,90,0,0,1,20,3,0,37,3,102,0
1,952,0,250,0,0,2,36,4,0,58,4,93,0
1,0,0,199,0,0,0,7,2,0,52,0,113,0
1,550,0,262,0,0,0,18,3,0,51,2,101,1
1,942,0,70,0,1,3,26,2,1,58,4,97,0
0,1054,1,289,0,1,3,21,0,0,89,0,93,0
0,752,1,239,1,0,2,30,3,1,67,1,112,0
0,1027,1,157,0,0,4,16,2,0,43,3,102,0
1,368,0,247,0,0,0,21,3,0,29,0,108,1
0,747,0,244,1,0,3,13,3,0,67,2,95,0
1,345,0,3,0,0,0,2,0,0,58,1,82,0
0,932,0,217,0,0,3,20,0,0,60,4,76,0
0,622,0,39,1,1,1,47,0,0,76,1,120,0
1,75,0,0,0,0,1,18,2,0,43,3,91,0
0,907,1,356,0,1,3,22,0,0,100,0,119,0
0,902,1,223,1,0,2,39,0,1,81,2,76,0
1,497,0,113,1,0,1,19,0,0,44,0,122,0
1,180,0,179,0,0,3,56,3,0,16,4,82,1
1,204,0,0,1,0,0,19,2,1,63,3,96,0
0,435,0,52,0,0,4,0,3,0,39,2,84,0
0,3,0,166,0,1,1,12,2,0,78,3,102,0
0,624,0,268,1,0,4,33,0,0,58,0,116,0
1,242,0,103,0,1,0,13,6,0,45,3,88,0
0,667,0,174,1,1,3,0,1,0,61,2,88,0
0,160,1,206,1,0,2,28,0,0,68,2,70,1
0,793,0,77,0,0,1,13,2,0,19,2,106,0
0,1046,0,98,1,0,1,33,1,0,74,2,92,1
1,677,0,204,0,0,0,62,1,0,63,4,83,1
0,30,0,0,1,0,0,2,4,0,35,2,79,0
0,591,0,106,0,0,0,21,0,1,45,3,80,1
0,305,0,0,0,1,0,8,5,0,38,1,107,0
1,0,0,27,0,0,0,0,6,0,31,2,86,0
0,1452,1,203,0,0,4,20,0,1,85,3,84,0
1,718,0,230,0,1,0,29,0,1,62,1,113,0
1,10,0,0,0,0,0,0,1,0,9,2,72,0
0,984,0,0,1,1,1,45,0,1,72,3,99,1
0,91,1,191,0,0,0,0,3,0,45,1,123,0
1,1075,0,148,1,0,2,52,2,0,68,4,78,1
1,1588,0,257,1,1,3,34,2,0,82,2,107,0
1,917,0,235,1,0,0,20,1,0,70,1,106,0
1,0,0,70,1,0,1,10,8,1,12,4,80,1
1,302,0,60,0,0,3,0,5,0,13,2,96,0
0,691,0,330,0,1,1,37,0,0,84,0,112,0
0,577,0,0,0,0,1,34,4,0,44,4,83,1
1,687,1,423,0,0,2,37,0,0,92,3,88,0
1,72,0,205,0,0,2,57,0,1,63,3,86,0
1,805,1,289,1,0,2,22,1,1,86,3,94,0
0,1349,0,236,1,1,2,27,0,1,81,1,101,0
1,694,0,11,0,0,3,25,1,1,81,3,73,1
1,0,0,78,0,0,3,10,3,0,7,0,107,1
0,254,0,167,1,0,1,52,3,0,38,3,76,0
0,908,0,163,1,0,2,20,2,1,56,3,70,1
1,0,0,0,0,0,0,0,0,0,25,1,71,1
1,640,0,101,0,0,3,22,1,1,74,3,93,0
0,619,0,42,1,1,0,18,2,1,62,3,96,0
1,207,0,0,0,0,1,0,1,1,33,4,89,1
1,662,0,8,0,0,0,0,5,0,16,4,94,1
1,406,0,35,0,0,1,0,5,0,15,3,103,0
1,486,0,155,0,0,2,0,0,0,52,2,108,0
0,491,0,0,1,1,3,4,5,1,52,3,90,0
1,26,0,24,0,0,0,0,4,1,17,4,97,0
0,698,1,126,1,1,2,34,4,0,58,3,76,0
1,198,0,180,1,0,1,11,0,0,53,3,85,0
1,506,0,355,0,1,5,16,1,0,100,4,90,0
0,326,0,200,0,1,2,25,1,0,68,1,95,0
0,1236,1,230,1,1,3,42,2,1,61,4,79,1
1,1276,1,89,1,0,2,14,4,0,58,3,87,0
1,532,0,63,0,0,0,15,4,0,20,3,75,1
0,843,0,276,1,0,1,19,0,1,34,4,82,1
1,219,0,103,0,1,2,22,0,0,63,4,107,0
1,165,0,87,0,0,2,13,4,0,30,3,97,0
1,340,0,0,0,0,1,22,4,0,11,4,87,1
1,1199,1,147,1,0,0,20,1,0,84,2,98,0
0,784,0,157,1,1,0,24,2,1,67,2,90,0
1,200,0,177,0,0,2,15,3,0,54,3,90,0
0,604,0,188,0,0,2,28,2,0,64,1,118,1
1,362,0,214,0,1,2,12,3,0,84,4,87,0
0,931,1,190,0,1,3,33,0,1,64,3,98,1
1,1288,1,172,1,1,1,16,1,0,62,3,72,1
1,0,0,240,0,1,2,29,2,0,37,2,102,0
0,674,0,307,1,0,3,4,1,0,59,2,116,0
0,806,0,196,1,1,2,17,1,0,59,3,89,0
1,699,0,14,1,0,1,15,5,0,53,0,116,0
1,1038,0,115,1,0,0,8,4,0,52,1,101,0
1,0,0,199,0,0,1,10,3,0,28,1,107,1
1,426,0,0,0,0,0,9,4,0,12,3,101,0
0,936,0,388,1,0,4,25,2,0,86,3,83,1
1,287,0,70,0,0,0,1,3,0,49,4,103,0
1,437,0,0,0,0,0,54,0,0,53,3,70,0
0,1511,1,313,1,0,1,67,1,1,88,3,89,0
0,917,0,68,1,0,3,45,3,1,44,3,98,0
1,904,1,164,0,0,1,19,1,0,58,1,84,0
1,31,0,0,0,0,2,0,3,1,24,2,94,0
1,1102,0,28,1,0,3,21,0,0,56,2,120,0
0,926,0,135,0,1,2,23,0,1,78,3,96,0
0,1396,0,58,1,1,3,27,1,0,93,2,95,0
1,0,0,141,0,0,1,33,4,0,54,4,81,1
1,3,0,73,0,0,2,43,4,0,22,4,73,1
0,1501,0,293,1,0,2,26,2,0,63,1,117,0
1,19,0,70,0,0,0,25,5,0,8,2,91,0
